device,count
"ackroyd.harvard.edu",2
"autoreg-dev.noc.harvard.edu",2
"autoregdbdev-60ox.noc.harvard.edu",2
"autoregdev1-10wa.noc.harvard.edu",2
"autoregdev1-60ox.noc.harvard.edu",2
"awesome.noc.harvard.edu",2
"cachingonly-d1.harvard.edu",2
"cachingonly-d2.harvard.edu",2
"cachingonly-d3.harvard.edu",2
"cachingonly-d4.harvard.edu",2
"dnsdev-60ox.noc.harvard.edu",2
"endrun1.noc.harvard.edu",2
"endrun2.noc.harvard.edu",2
"endrun3.noc.harvard.edu",2
"endrun4.noc.harvard.edu",2
"endrun5.noc.harvard.edu",2
"ext1.aliasing.harvard.edu",2
"ext2.aliasing.harvard.edu",2
"externaldns-c1.harvard.edu",2
"externaldns-c2.harvard.edu",2
"externaldns-c3.harvard.edu",2
"gm-a1.harvard.edu",2
"gm-a2.harvard.edu",2
"hu-ldap.harvard.edu",2
"hvac-dev-10wa.noc.harvard.edu",2
"hvac-dev-60ox.noc.harvard.edu",2
"internaldns-b1.harvard.edu",2
"internaldns-b2.harvard.edu",2
"internaldns-b3.harvard.edu",2
"internaldns-b4.harvard.edu",2
"internaldns-b5.harvard.edu",2
"internaldns-b6.harvard.edu",2
"internaldns-b7.harvard.edu",2
"internaldns-b8.harvard.edu",2
"itis-padlproxy1.cadm.harvard.edu",2
"itis-padlproxy2.cadm.harvard.edu",2
"kaga.harvard.edu",2
"ldapdev1-10wa.noc.harvard.edu",2
"ldapdev1-60ox.noc.harvard.edu",2
"ldapdev1.noc.harvard.edu",2
"ldapdev2.noc.harvard.edu",2
"mail.br.harvard.edu",2
"mass1414-vpn-1-gw.fas",2
"nagios-dev.noc.harvard.edu",2
"netopc.harvard.edu",2
"nocmail-dev.noc.harvard.edu",2
"ns.harvard.edu",2
"ns1.harvard.edu",2
"ns2.harvard.edu",2
"ns3.harvard.edu",2
"padl1.harvard.edu",2
"padl2.harvard.edu",2
"rhel5build-10wa.noc.harvard.edu",2
"rhelbuild.noc.harvard.edu",2
"sc-vpn-1-gw.fas",2
"smf1-10wa.noc.harvard.edu",2
"splunkindexdev-60ox.noc.harvard.edu",2
"splunksearchdev1-10wa.noc.harvard.edu",2
"syslog-ng-dev.noc.harvard.edu",2
"telepsnmp.noc.harvard.edu",2
vpn4,2
vpn5,2
vpn5dr,2
"webmaildev-10wa.noc.harvard.edu",2
"wwwdev-10wa.noc.harvard.edu",2
"xmpp-dev.noc.harvard.edu",2
