device,count
"acorn100-1-sw1",2
"acorn100-3-sw1",2
"acorn100-3-sw2",2
"acorn100-4-sw1",2
"advocate-b-sw.fas",2
"agassiz-b-sw.fas",2
"akron-3-sw1",2
"akron-6-sw1",2
"akron-garage-sw1",2
"akron-mdf-sw1",2
"alumnae-b-sw1",2
"ames-b-sw.law",2
"andover-b-sw1",2
"andover-b-sw2",2
"andover-lib-2-sw1",2
"andover-lib-b-sw1",2
"andover-lib-b-sw2",2
"andover-lib-g-sw1",2
"apley-b-sw1",2
"apthorp-b-sw1",2
"areeda-5-1-sw.law",2
"areeda-b-1-sw.law",2
"arn-grnhse-sw1",2
"arn-hunnewell-3-sw1",2
"arn-hunnewell-mdf-sw1",2
"arn-weld-1-sw1",2
"arn-weld-1-sw2",2
arngw1,2
"arrow2-4-sw.fas",2
"arrow2-4-sw1",2
arssw1,2
"art-3-sw1",2
"artstudios-b-sw.fas",2
"austin-2-sw.law",2
"austin-b-sw.law",2
"austin-bw-sw.law",2
"baker-b-sw.law",2
"banks37-b-sw1",2
"banks47-b-sw1",2
"banks69-b-sw1",2
"barker-1e-sw.fas",2
"barker-1w-sw.fas",2
"barker-2e-sw.fas",2
"barker-2w-sw.fas",2
"barker-3e-sw.fas",2
"barker-3w-sw.fas",2
"barker-bw-sw.fas",2
"barnard-b-sw.fas",2
"bauer-2-2-sw.fas",2
"bauer-2-sw.fas",2
"bauer-b-2-sw.fas",2
bdrgw1,2
bdrgw3,2
"belfer-3-sw1",2
"belfer-3-sw2",2
bent300gw1,2
"berentc-1-sw1",2
"bertram-b-sw.fas",2
"bingham-3b-sw.fas",2
"bio-1a-sw.fas",2
"bio-1b-2-sw.fas",2
"bio-1b-sw.fas",2
"bio-1c-sw.fas",2
"bio-1d-sw.fas",2
"bio-2a-sw.fas",2
"bio-2b-sw.fas",2
"bio-2c-sw.fas",2
"bio-2d-sw.fas",2
"bio-3a-sw.fas",2
"bio-3b-sw.fas",2
"bio-3c-sw.fas",2
"bio-3d-sw.fas",2
"bio-4a-sw.fas",2
"bio-4b-sw.fas",2
"bio-4c-sw.fas",2
"bio-4d-sw.fas",2
"bio-5a-sw.fas",2
"bio-5c-sw.fas",2
"bio-bb-sw.fas",2
"bio-bc-sw.fas",2
"bio-bd-sw.fas",2
"bio-fly-1-sw.fas",2
"bio-rc-core-gw.fas",2
"blkstn-2-sw1",2
"blkstn-2-sw2",2
"blkstn-b-sw1",2
"blkstn-b-sw2",2
"blkstn-b6-2-sw1",2
"blodgett-1-sw1",2
"bow1-3-sw.fas",2
"boylston-4-sw.fas",2
"brattle1-5-sw1",2
"brattle1-6-sw.fas",2
"brattle44-5-a-sw1",2
"brattle44-5-b-sw1",2
"brattle44-5-sw.fas",2
"brattle46-2-sw1",2
"brattle46-3-sw1",2
"brattle46-5-sw1",2
"brattle46-5-sw2",2
"brattle51-1-sw1",2
"brattle51-4-sw1",2
"brattle51-6-sw1",2
"brattle83-b-sw1",2
"brattle86-b-sw.fas",2
"brattle86-bn-sw.fas",2
"bri-i-sw.fas",2
"briggs-b-sw.fas",2
"briggscage-1-sw1",2
"bright-1-sw.fas",2
"bright-pb-sw.fas",2
"broadway-gar-booth-sw1",2
"broadway-gar-sw1",2
"brookline175-3-sw1",2
